"","id","country","location","latitude","longitude","month","year","depth","bleaching_severity","coral_family","coral_species","water_temperature"
"45",7281,"Kenya","Mpunguti",-4.692222,39.409444,4,2010,"1.5-4m","High","","Acropora, Porites Bra, Goniastrea, Favia, Alveopora, Galaxea fascicularis , pocillopora and seriatiopora",""
"46",7285,"Kenya","Shimo la Tewa",2.04296,41.24666,4,2010,"1.5-4m","High","","pocillopora , Acropora, echinopora, favites, tubinaria, goniastrea, platygyra and favia",""
"47",7283,"Kenya","Sii island corner",-4.666667,39.28333,4,2010,"1.2-2m","High","","Platygyra, Galaxea fascicularis, echinopora, favia, a cropora, leptoria, fungia, stylophora",""
"48",2051,"Kenya","Takaungu",-3.66666666666667,39.8833333333333,NA,1998,"","Severity Unknown","","",""
"49",2058,"Kenya","Watamu",-3.31666666666667,40.1166666666667,NA,1998,"","Low","","",""
"50",3907,"Mozambique","Baixo de St. Antonio, Angoche",-16.02,40.13,3,1999,"3-7m","Low","","",""
"51",257,"Mozambique","Baixo St Antonio",-16.2032,40.137,NA,1998,"","High","","",""
"52",2148,"Mozambique","Barreira Vermelha",-26.1,32.8833333333333,NA,1998,"2-5","High","","",""
"53",2327,"Mozambique","Bazaruto Island",-21.6666666666667,35.5,NA,1998,"1-8","Medium","","",""
"54",263,"Mozambique","Cabo das Correntes (Paindane)",-23.7787,35.5125,NA,1998,"","No Bleaching","","",""
"55",259,"Mozambique","Coral Garden",-21.9045,35.5151,NA,1998,"","No Bleaching","","",""
"56",262,"Mozambique","Coral Garden",-23.7769,35.489,NA,1998,"","Medium","","",""
"57",3910,"Mozambique","Coral Garden (Ponta da Barra), Inhambane",-23.78,35.516,3,1999,"1-5m","Low","","Acropora sp.",""
"58",254,"Mozambique","Fernao Veloso Bay",-12.9563,40.5845,NA,1998,"","High","","",""
"59",760,"Mozambique","Inhaca Island",-26.0036,32.9164,NA,1999,"","Low","","",""
"60",2147,"Mozambique","Inhaca Island",-26.05,32.95,NA,1998,"2-6","Medium","","",""
"61",260,"Mozambique","Lighthouse Reef",-21.4923,35.5102,NA,1998,"","Medium","","",""
"62",3909,"Mozambique","Lighthouse Reef, Inner Two-Mile Reef",-21.516,35.483,3,1999,"1-3.5m","Low","","",""
"63",258,"Mozambique","Mafamede Island",-16.4424,39.9611,NA,1998,"","High","","",""
"64",2219,"Mozambique","Mafamede Island",-16.3333333333333,40,NA,1998,"3-7","Low","","",""
"65",3908,"Mozambique","Mafamede Island, Angoche",-16.03,40.05,3,1999,"3-7m","Low","","",""
"66",7275,"Mozambique","Metundo, Quirimbass",-12.14667,40.5725,6,2010,"10 m","Severity Unknown","","Acropora sp. Pocillaria sp.",""
"67",261,"Mozambique","Mike's Cupboard",-23.7814,35.5306,NA,1998,"","No Bleaching","","",""
"68",253,"Mozambique","Pemba Bay",-12.2805,40.6033,NA,1998,"","High","","",""
"69",265,"Mozambique","Pta Torres",-26.0427,33.0087,NA,1998,"","High","","",""
"70",264,"Mozambique","Pta Torres Channel",-25.9557,33.005,NA,1998,"","No Bleaching","","",""
"71",256,"Mozambique","Quilalulia Channel",-11.0432,40.6994,NA,1998,"","High","","",""
"72",252,"Mozambique","Sencar",-11.2059,40.6715,NA,1998,"","High","","",""
"73",255,"Mozambique","Wimbi Beach",-11.5273,40.6275,NA,1998,"","High","","",""
"74",245,"Somalia","1km west of Raas Cuuda",10.7898,45.979,NA,1998,"","High","","",""
"75",246,"Somalia","east of El Girdi",10.56,45.22,NA,1998,"","Medium","","",""
"76",247,"Somalia","west of Berbera lighthouse",10.4343,44.9681,NA,1998,"","Low","","",""
"77",3986,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,12,2000,"10-15m","Low","","Refer to Table","25–27 8C (summer)"
"78",3987,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,9,2001,"10-15m","Low","","Refer to Table","21-23C (winter)"
"79",3988,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,3,2001,"10-15m","Low","","Refer to Table","25–27 8C (Summer)"
"80",3989,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,12,2000,"17-21m","Low","","Refer to Table","25–27 8C (Summer)"
"81",3990,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,3,2001,"17-21m","Low","","Refer to Table","25–27 8C (Summer)"
"82",3991,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,9,2001,"17-21m","Low","","Refer to Table","21-23C (winter)"
"83",3992,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,12,2000,"15-18m","Low","","Refer to Table","25–27 8C (Summer)"
"84",3993,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,3,2001,"15-18m","Low","","Refer to Table","25–27 8C (Summer)"
"85",3994,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,9,2001,"15-18m","Low","","Refer to Table","21-23C (winter)"
"86",3900,"South Africa","Four-Mile Reef, Sodwana Bay",-27.506,32.692,3,2000,"18-24m","No Bleaching","","A. hyacinthus and A. austera","Max. 27.5 and 28.4 C"
"87",3902,"South Africa","Nine-Mile Reef, Sodwana Bay",-27.421,32.732,3,2000,"6-18m","Severity Unknown","","Similar to TMR, primarily affecting Montipora and
Alveopora spp. and the sponge S. kelleri","Max. 27.5 and 28.4 C"
"88",3901,"South Africa","Seven-Mile Reef, Sodwana Bay",-27.422,32.739,3,2000,"","No Bleaching","","","Max. 27.5 and 28.4 C"
"89",597,"South Africa","Sodwana",-27.5333,32.6833,NA,1998,"","Low","","",""
"90",550,"South Africa","South Africa 26-27deg S",-33.6,26.9,NA,1998,"","Low","","","22-29.5c"
"91",3899,"South Africa","Two-Mile Reef, Sodwana Bay",-27.526,32.688,3,2000,"6-10m pinnacle, 24-27m fore reef","Low","","M. aequituberculata, M. monasteriata and
M. tuberculosa (55:0 +-24:4% of all the Montipora
colonies), A. spongiosa and A. clathrata. The
Alcyoniidae S. dura, L. depressum and to a lesser
extent L. patulum,  sponge S. kelleri","Max. 27.5 and 28.4 C"
"92",251,"Tanzania","Bawi",-6.1925,39.1349,3,1998,"","Medium","","",""
"93",249,"Tanzania","Chapwani and Changuu reefs",-6.1274,39.1742,3,1998,"","High","","",""
"94",2115,"Tanzania","Chole Bay",-7.98333333333333,39.7833333333333,5,1998,"","High","","",""
"95",336,"Tanzania","Chumba Cha Chumbo",-10.298,40.3604,NA,1998,"","Medium","","",""
"96",250,"Tanzania","Chumbe",-6.3031,39.195,3,1998,"","Medium","","",""
"97",2095,"Tanzania","Chumbe Island",-6.35,39.225,NA,1994,"","Severity Unknown","","",""
"98",2096,"Tanzania","Chumbe Island",-6.35,39.225,5,1998,"","High","","",""
"99",2069,"Tanzania","Chumbe Island",-6.35,39.225,9,1993,"","Severity Unknown","","",""
"100",553,"Tanzania","Dar es Salaam",-6.8,39.2833,NA,1998,"","Medium","","",""
"101",1807,"Tanzania","Kinasi Pass",-7.96666666666667,39.7833333333333,5,1998,"","High","","",""
"102",759,"Tanzania","Kunduchi",-6.6667,39.2167,NA,1998,"","Medium","","",""
"103",1809,"Tanzania","Mafia Island",-7.83333333333333,39.8333333333333,5,1998,"","High","","",""
"104",481,"Tanzania","Mafia Island Marine Park",-7.9516,39.8137,NA,2001,"","Low","","",""
"105",191,"Tanzania","Mafia Island Marine Park",-7.9516,39.8137,10,1998,"","High","","",""
"106",2064,"Tanzania","Misali",-5.28333333333333,39.6333333333333,NA,1998,"","High","","",""
"107",757,"Tanzania","Misali Reef, Pemba Island",-5.2333,39.6,NA,1998,"","High","","",""
"108",3917,"Tanzania","Mkwaja Village, Tanga Region",-5.78,38.85,4,2003,"","Severity Unknown","","Fungia, Porites, Acropora","28.6C"
"109",26,"Tanzania","Mnazi Bay, Tanzania",-10.3477,40.3384,5,1998,"","Medium","","",""
"110",7125,"Tanzania","Pangani,  Tanga",-5.5,39.07,11,2008,"2","No Bleaching","","",""
"111",7126,"Tanzania","Pangani,  Tanga",-5.54,39.04,11,2008,"2","No Bleaching","","",""
"112",551,"Tanzania","Pemba Island",-5.1667,39.8,NA,1998,"","High","","",""
"113",341,"Tanzania","Ravula",-10.3025,40.3867,NA,1998,"","Medium","","",""
"114",7224,"Tanzania","Site 1 & 2,  Changuu, Zanzibar",-6.1203,39.1654,5,2010,"5 m","Medium","","Acropora sp., Coscinarea sp., Echinophyllia sp., Echinopora sp., Fungia sp., Galaxea astreata, Galaxea fascicularis, Herpolitha, Hydnophora sp., Pavona sp., Physogyra sp., Platygyra sp., Plerogyra sp., Pocillopora sp., Porites branching, Porites massive, Seriatopora sp., Synarea sp.",""
"115",7220,"Tanzania","Site 1, BAWE, Zanzibar",-6.1481,39.1304,5,2010,"2 m","Medium","","Acropora sp., Astreopora sp., Coscinarea sp., Echinopora sp., Favia sp., Favites sp., Fungia sp., Galaxea astreata, Galaxea fascicularis, Goniastrea sp., Goniopora sp., Hydnophora sp., Lobopyllia sp., Merulina sp., Millepora sp., Montipora, Mycedium sp.,  Oxypora sp., Pachyseris sp., Pavona sp., Physogyra sp., Platygyra sp., Pocillopora sp., Porites branching, Porites massive, Seriatopora sp., Stylophora sp., Synarea sp., Turbinaria sp.,",""
"116",7221,"Tanzania","Site 2, BAWE, Zanzibar",-6.1482,39.1303,5,2010,"","Medium","","Acropora sp., Coscinarea sp., Cyphastrea sp., Echinopora sp., Fungia sp., Galaxea astreata sp., Galaxea fascicularis, Goniastrea sp., Lobopyllia sp., Millepora sp., Montipora sp., Mycedium sp., Pachyseris sp., Pavona sp., Pocillopora sp., Porites branching, Porites massive, Psammacora sp., Seriatopora sp., Stylophora sp., Synarea sp.,",""
"117",7222,"Tanzania","Site 3, BAWE, Zanzibar",-6.1483,39.1302,5,2010,"2 m","Medium","","Acropora sp., Coscinarea sp., Echinophyllia sp., Echinopora sp., Favia sp., Favites sp., Fungia sp., Galaxea astreata, Galaxea fascicularis, Halomitra sp., Herpolitha sp., Hydnophora sp., Leptoria sp., Millepora sp., Montipora sp., Mycedium sp., Oxypora sp., Pachyseris sp., Pavona sp., Platygyra sp., Pocillopora sp., Porites branching, Porites massive,  Stylophora sp., Synarea sp.,",""
"118",7225,"Tanzania","Site 3, CHUMBE, Zanzibar",-6.2786,39.1782,5,2010,"8 m","Low","","Acanthastrea sp., Acropora sp., Astreopora sp., Diploastrea sp., Echinopora sp., Favia sp., Favites sp., Fungia sp., Galaxea astreata , Galaxea fascicularis, Gardinoseris sp., Goniastrea sp., Goniopora sp., Halomitra sp., Heliopora sp., Herpolitha sp., Hydnophora sp., Leptastrea sp., Leptoria sp., Leptoseris sp., Lobopyllia sp., Merulina sp., Montipora sp., Mycedium sp., Oxypora sp., Pachyseris sp., Pavona sp., Platygyra sp., Pocillopora sp., Porites branching, Porites massive, V sp., Symphyllia sp., Synarea sp., Turbinaria sp.",""
"119",7223,"Tanzania","Site 4, BAWE, Zanzibar",-6.1484,39.1301,5,2010,"2 m","Medium","","Acropora sp., Coscinarea sp.,  Echinophyllia sp., Echinopora sp., Favia sp., Fungia sp., Galaxea astreata, Galaxea fascicularis, Goniopora, Hydnophora, Leptoria sp., Lobopyllia sp., Merulina sp., Montipora sp., Mycedium sp., Pavona sp., Pocillopora sp., Porites branching, Porites massive, Synarea sp.,",""
"120",2056,"Tanzania","Tanga Coral Gardens",-5.11666666666667,39.2166666666667,5,1998,"","Medium","","",""
"121",3912,"Tanzania","Tanga Town to Kigombe village",-5.187,39.103,4,2003,"","Low","","Pocillopora sp","28C"
"122",190,"Tanzania","Tanga, Tanzania",-5.025,39.24,5,1998,"","Medium","","",""
"123",112,"Tanzania","Tanzania",-8.7242,39.5216,12,1998,"","High","","",""
"124",2079,"Tanzania","Tutia Island",-8.11666666666667,39.7,4,1998,"","High","","",""
"125",2080,"Tanzania","Tutia Island",-8.11666666666667,39.7,3,1998,"","High","","",""
"126",596,"Tanzania","Tutia Reef, Mafia Island Marine Park",-7.6667,40.6667,NA,1998,"3m","High","Acroporidae","Acropora","3 to 5C above normal"
"127",758,"Tanzania","Unguja Island, Zanzibar",-6.3167,39.3667,NA,1998,"","Medium","","",""
"128",552,"Tanzania","W coast Zanzibar Island",-6.1667,39.3333,NA,1998,"","Medium","","",""
"129",2094,"Tanzania","Zanzibar Islands",-6,39.55,3,1998,"","Medium","","",""
"130",2041,"Tanzania","Zanzibar Islands",-6,39.55,5,1998,"","Medium","","",""
"131",786,"Comoros","Canzoni",-12.3,43.8,NA,1998,"","High","Acroporidae","Acropora",""
"132",2128,"Comoros","Comoros",-12.1,43.8,NA,1998,"","Medium","","",""
"133",169,"Comoros","Grande Comore",-11.4909,43.401,5,1998,"","High","","",""
"134",785,"Comoros","Itsamia",-12.35,43.8667,NA,1998,"","Medium","","",""
"135",487,"Comoros","Mayotte Island",-12.7,45.2,5,1998,"","High","Pocillopordae, Acroporidae, ","Pocillopora sp, Acropora sp, Diploastrea sp","31-32c"
"136",2129,"Comoros","Mayotte Island",-12.8333333333333,45.2166666666667,5,1983,"12","High","","",""
"137",2130,"Comoros","Mayotte Island",-12.8333333333333,45.2166666666667,5,1986,"","High","","",""
"138",2131,"Comoros","Mayotte Island",-12.8333333333333,45.2166666666667,NA,1983,"0-10","Medium","","",""
"139",2132,"Comoros","Mayotte Island",-12.8333333333333,45.2166666666667,4,1998,"","High","","",""
"140",784,"Comoros","Mitsmiouli ",-11.4167,43.3,NA,1998,"","High","Acroporidae","Acropora",""
"141",266,"Comoros","Mohéli",-12.2755,43.75,5,1998,"","High","","",""
"142",7277,"Comoros","Moheli, Ngazidja",-11.583,43.333,3,2010,"10 m","Severity Unknown","","Pocillopora sp.",""
"143",7107,"Madagascar","Andavadoaka, Befandefa",-22.12,43.2,8,2008,"12","Low","","","Air temp 25 Deg C, Water temp 23 Deg C"
"144",2661,"Madagascar","Ankarea, Mitsio Is.",-12.846,48.573,1,2002,"","Low","","",""
"145",178,"Madagascar","Antanambe",-16.5,49.85,2,1998,"","Medium","","",""
"146",2659,"Madagascar","Bank Marie, Mitsio Is.",-12.935,48.538,1,2002,"","Low","","",""
"147",177,"Madagascar","Belo sur Mer",-19.5915,44.425,2,1998,"","Medium","","",""
"148",7042,"Madagascar","Ifaty, Toliara",-23.15,43.07,10,2009,"5.5","No Bleaching","","","Air temp 29 Deg C, water temp 27 Deg C"
"149",7043,"Madagascar","Ifaty, Tulear",-23.15,43.57,4,2009,"4","Severity Unknown","","","Air temp 31 Deg C, Water temp 27 Deg C."
"150",7041,"Madagascar","Ifaty, Tulear",-23.15,43.57,4,2009,"8.5","Severity Unknown","","hard Coral",""
"151",2301,"Madagascar","Madagascar",-19,46.56,3,1998,"","Medium","","",""
"152",2220,"Madagascar","Mananara Marine",-16.3333333333333,49.85,NA,1998,"","Severity Unknown","","",""
"153",182,"Madagascar","Manara-Nord, Masoala peninsula",-15,50.5,2,1998,"","Medium","Acroporidae","Acropora",""
"154",598,"Madagascar","Masoala",-15.9833,50.1667,NA,1998,"","Medium","","",""
"155",2221,"Madagascar","Masoala",-16.0666666666667,50.1833333333333,NA,1998,"","Low","","",""
"156",181,"Madagascar","Mitsio Archipelago",-12.82,48.6376,2,1998,"","Medium","","",""
"157",180,"Madagascar","Nosy Be",-13.1873,48.2823,2,1998,"","Medium","","",""
"158",2662,"Madagascar","Nosy Fanihy, Nose Be",-13.181,48.234,1,2002,"","Low","","",""
"159",2660,"Madagascar","Nosy Fisaka, Mitsio Is.",-12.823,48.59,1,2002,"","Low","","",""
"160",4034,"Madagascar","Tampolo Marine Reserve in Antongil Bay",-18.467,49.3,3,2005,"","High","","",""
"161",2663,"Madagascar","Tanikely, Nose Be",-13.485,48.24,1,2002,"","Low","","",""
"162",179,"Madagascar","Toliara",-23.4941,43.7538,2,1998,"","Medium","","",""
"163",2658,"Madagascar","Tsarabajina, Mitsio Is.",-13.036,48.545,1,2002,"","Low","","",""
"164",480,"Madagascar","Tulear",-23.3833,43.7167,2,2001,"","High","","",""
"165",2149,"Madagascar","Tulear ( Toliara )",-23.4166666666667,43.6666666666667,NA,1998,"","Low","","",""
"166",7273,"Madagascar","Vohemar, NE Madagascar",-12,50,4,2010,"25 m","Severity Unknown","","acropora sp , pocillaria sp.",""
"167",6752,"Mauritius","Albion Lagoon",-20.215318,57.397491,1,2009,"1.5-2m","Severity Unknown","Acroporidae","Mostly Acopora","32C"
"168",6755,"Mauritius","Albion Lagoon",-20.207751,57.40359,1,2009,"1.5-2m","Severity Unknown","Acropora","","29C"
"169",2312,"Mauritius","Balaclava ( Arsenal Bay / Baie de L'Arsenal )",-20.1,57.5,NA,1998,"","Low","","",""
"170",234,"Mauritius","Balaclava Bay marine park",-20.1602,57.4528,2,1998,"","Medium","","",""
"171",2314,"Mauritius","Benitiers Island ( L'ile aux Benitiers )",-20.4333333333333,57.3416666666667,NA,1998,"","Medium","","",""
